"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1326.7,,
"DEU","Germany","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1333.8,,
"DEU","Germany","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1336.8,,
"DEU","Germany","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1333.5,,
"DEU","Germany","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1331,,
"DEU","Germany","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1332,,
"DEU","Germany","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1330,,
"DEU","Germany","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1284,,
"DEU","Germany","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1425.7,,
"DEU","Germany","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1426.9,,
"DEU","Germany","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1408,,
"DEU","Germany","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1396.5,,
"DEU","Germany","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1400.4,,
"DEU","Germany","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1401,,
"DEU","Germany","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1395.6,,
"DEU","Germany","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1389.1,,
"DEU","Germany","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1386.9,,
"DEU","Germany","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1382.8,,
"DEU","Germany","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1331.7,,
"GRC","Greece","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1712,,
"GRC","Greece","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1726,,
"GRC","Greece","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1737,,
"GRC","Greece","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1736,,
"GRC","Greece","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1707,,
"GRC","Greece","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1706,,
"GRC","Greece","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1727,,
"GRC","Greece","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1715,,
"GRC","Greece","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1730,,
"GRC","Greece","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1703,,
"GRC","Greece","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1537,,
"GRC","Greece","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1931,,
"GRC","Greece","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1950,,
"GRC","Greece","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1990,,
"GRC","Greece","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1997,,
"GRC","Greece","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1949,,
"GRC","Greece","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1935,,
"GRC","Greece","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1943,,
"GRC","Greece","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1947,,
"GRC","Greece","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1965,,
"GRC","Greece","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1920,,
"GRC","Greece","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1728,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1818,,
